Name	Nickname	ID
Algorian	Algorian	91951908331196416
Allexie	Allexie	516432801822670858
Soairse	Allexie	516432801822670858
Trilysa	Allexie	516432801822670858
Adytha	Allexie	516432801822670858
Bryllie	Allexie	516432801822670858
Lireala	Allexie	516432801822670858
Angrygarry	Angrygary	583399234020180164
Hiddenergary	Angrygary	583399234020180164
Angrygary	Angrygary	583399234020180164
Arthalor	Azaelios	158033792345440256
Sweetiefox	Azaelios	158033792345440256
Bashalot	Bash	288173204764229634
Silverclaw	Bash	288173204764229634
Blarly	Blarly	251225527799513089
Bloodknife	Blood	298329767654981632
Elyas	Blood	298329767654981632
Ingtar	Blood	298329767654981632
Myaxe	Blood	298329767654981632
Sumeko	Blood	298329767654981632
Scarletsonja	Bowsong	223652296930623488
Burninglove	Burninglove	578692064598818828
Superbussy	Bussy	157576069363400704
Cerydra	Cerydra	328025405707649025
Hysilens	Cerydra	328025405707649025
Courtanganet	Jarn	1229448307546394626
Basche	Jarn	1229448307546394626
Ruke	Jarn	1229448307546394626
Aressi	Jarn	1229448307546394626
Zypkyxzyklyz	Jarn	1229448307546394626
Clayne	Jarn	1229448307546394626
Diddysthongs	Donny	1056698285697540097
Dredga	Dredga	271875130328612866
Gartrodias	Drorn	301153581283672064
Earfarmer	Earfarmer	1416828611348140114
Edgelordxx	Edgelord	728204717905281054
Littlelordxx	Edgelord	728204717905281054
Scumlordxx	Edgelord	728204717905281054
Énvy	Envy	1091878730370138223
Faelx	Fael	252324027815821312
Theprecious	Fael	252324027815821312
Reddycoin	Fael	252324027815821312
Fireavatar	Fireavatar	229756684980060161
Fireblood	Fireavatar	229756684980060161
Fireterra	Fireavatar	229756684980060161
Franklyn	Franklyn	306938832735961089
Gaph	Gaph	228314433514897408
Brainwaves	Gaph	228314433514897408
Grinderman	Gaph	228314433514897408
Gnoobie	Gnormal	238822023399342080
Hamb	Hamb	178272635401142272
Holdmybow	Holdmybow	447229053490036746
Holymarxx	Holymarxx	183601076883292160
Shadowmarxx	Holymarxx	183601076883292160
Jadiaz	Jadiaz	504100806388219906
Jawnine	Jawnny	244288919762370561
Paximus	Jerith	224547332765515777
Kilraith	Kilroth	268846877158408193
Kilre	Kilroth	268846877158408193
Kirinas	Kirinas	331768947441401858
Ursoprot	Kirinas	331768947441401858
Braiken	Kirinas	331768947441401858
Ellaurindre	Kmoney	616982198913990672
Kurl	Kurl	249773005452869632
Jora	Kurl	249773005452869632
Gimleh	Leela	450090425731252236
Lochlinban	Lochlinban	505385793427341312
Lastluna	Luna	1315736933338452009
Macajust	Macajust	440677858226995223
Castironwill	Majic	653010679321591813
Makenzi	Makenzi	221440729048809472
Astraë	Malek	475201574113771520
Mctwat	Mcdilda	481283426788311043
Twaddle	Mcdilda	481283426788311043
Mystickoak	Mysticoak	1235432206344917002
Oaksmash	Mysticoak	1235432206344917002
Oakshadon	Mysticoak	1235432206344917002
Kruge	Kruge	1412575334842503350
Artemiz	Nyx	927693935390892113
Avindeha	Oomi	233332926027268096
Boshido	Oomi	233332926027268096
Frostynugz	Oomi	233332926027268096
Gnoxious	Oomi	233332926027268096
Wearbare	Oomi	233332926027268096
Shamalas	Oomi	233332926027268096
Oominaughty	Oomi	233332926027268096
Oprecht	Oprecht	282975338198466570
Pixley	Pixley	803572753579507733
Abelard	Pixley	803572753579507733
Grondahl	Pixley	803572753579507733
Bolduc	Pixley	803572753579507733
Morbis	Plaguis	915087891108073503
Plaguis	Plaguis	915087891108073503
Sidius	Plaguis	915087891108073503
Yodis	Plaguis	915087891108073503
Darthplaguis	Plaguis	915087891108073503
Altoris	Plaguis	915087891108073503
Poppabandit	Poppa	696537683958300722
Puerta	Puerta	266372078351941632
Vendaje	Puerta	266372078351941632
Tierra	Puerta	266372078351941632
Pureviolence	Pureviolence	1041834026480185376
Run	Run	147849495319805962
Sanierily	Sanierily	483702502215122965
Kelwina	Seawede	1029742525495394377
Landrint	Seawede	1029742525495394377
Seawede	Seawede	1029742525495394377
Wenke	Seawede	1029742525495394377
Siuansanche	Siuansanche	908804904594841642
Snuggles	Snuggles	1012876713723707503
Sraiden	Sraiden	548696878943043606
Duckpond	Starcommand	277536199789379584
Perfectdark	Starcommand	277536199789379584
Worldsong	Starcommand	277536199789379584
Teflon	Teflon	1152424333604569129
Amang	Thormortx	615191696598237208
Tobias	Tobias	170352749853147136
Yulame	Tobias	170352749853147136
Transfmer	Transfmer	1358564745216528555
Dragonhunter	Transfmer	1358564745216528555
Koranna	Trisanna	692793691030421565
Rikosh	Trisanna	692793691030421565
Trisanna	Trisanna	692793691030421565
Vibowspamiií	Vi	284989861125947394
Visboutique	Vi	284989861125947394
Vorheeis	Vorheeis	210555007014010896
Saambell	Zecalion	715389436288040984
Hespero	Zua	655294936505122816
Mirabetta	Mirabetta	536831232831651854
Jarn	Jarn	1229448307546394626
Selik	Selik	697252411412316210
Whipp	Whippel	478744293461458944
Fifthnipple	Kmemesgroff	1106061591465689138
Kernholio	Kmemesgroff	1106061591465689138
Whippel	Whippel	478744293461458944
Amarànthus	Amaranthus	298987721542598657
Meatstealth	AjHammock	508670249499885579
Rivendare	Rivendare	152624946043027456
Ftworth	Ftworth	297531925847867395
Haltom	Ftworth	297531925847867395
Pangaean	Pangaean	146848386178482176
Shivroy	Shivroy	913446260663550012
Janiercy	Sanierily	483702502215122965
Lonelygary	Angrygary	583399234020180164
Vixinator	Clear	610609262611136512
Itsmeclear	Clear	610609262611136512
Megabit	Megabit	207621917396434945
Hóly	Jcesar	808885854352310294
Lunashoshana	Luna	1315736933338452009
Lews	Blood	298329767654981632
Forthebuoys	Forthebuoys	740024274114445352
Spunkiee	Spunkiee	664304054230450225
Konfour	Cranky	253974015801032704
Cjmann	Cjmann	926266914836201503
Veloz	Veloz	479176509706469376
Arrgento	Veloz	479176509706469376
Velozaah	Veloz	479176509706469376
Amarànthe	Amaranthus	298987721542598657
Jayare	Lawn	633717740196200463
Damageme	Lawn	633717740196200463
Dzakal	Dzakal	627486443765235725
Zyndd	Valque	504595929387761664
Kontigo	Cranky	253974015801032704
Sumthinsimpl	Cranky	253974015801032704
Friartukk	Cranky	253974015801032704
Wützkatze	Eilaurowen	280841570025078784
Eilaurowen	Eilaurowen	280841570025078784
Rdytopound	Eilaurowen	280841570025078784
Feuerfinger	Eilaurowen	280841570025078784
Silnceikillu	Eilaurowen	280841570025078784
Roterbart	Eilaurowen	280841570025078784
Seelenruh	Eilaurowen	280841570025078784
Jägerin	Eilaurowen	280841570025078784
