Level	Category	Class(es)	Requires	Item	Qty
1	Alchemy	Warrior, Rogue, Paladin		Elixir of Lion's Strength	10
1	Alchemy	All		Elixir of Minor Defense	10
1	Alchemy	Warlock		Weak Troll's Blood Potion	5
2	Alchemy	Rogue, Hunter		Elixir of Minor Agility	10
2	Alchemy	All		Elixir of Minor Fortitude	5
3	Alchemy	All		Lesser Healing Potion	20
5	Alchemy	Mage, Priest, Warlock, Druid, Paladin		Minor Rejuvenation Potion	10
5	Alchemy	All		Swiftness Potion	3
5	Alchemy	Warlock, Mage, Priest, Druid, Paladin		Minor Mana Potion	20
10	Alchemy	All		Elixir of Water Breathing	2
10	Alchemy	Warlock, Priest, Druid, Paladin		Elixir of Wisdom	5
12	Alchemy	All		Healing Potion	10
14	Alchemy	Warlock, Mage, Priest, Druid, Paladin		Lesser Mana Potion	10
15	Alchemy	Warlock		Strong Troll's Blood Potion	5
16	Alchemy	None		Elixir of Defense	5
18	Alchemy	Hunter, Rogue		Elixir of Lesser Agility	5
20	Alchemy	Warrior, Rogue, Paladin, Druid		Elixir of Ogre's Strength	5
21	Alchemy	All		Greater Healing Potion	10
22	Alchemy	Warlock, Mage, Priest, Druid, Paladin		Mana Potion	10
25	Alchemy	Warlock		Elixir of Fortitude	5
26	Alchemy	Warlock		Mighty Troll's Blood	5
27	Alchemy	Warrior, Rogue, Hunter		Elixir of Agility	5
29	Alchemy	None		Elixir of Greater Defense	5
31	Alchemy	Warlock, Mage, Priest, Druid, Paladin		Greater Mana Potion	10
33	Alchemy	Warrior, Rogue, Paladin, Druid		Lesser Stoneshield Potion	5
35	Alchemy	All		Superior Healing Potion	10
37	Alchemy	Warlock, Priest, Druid, Paladin		Elixir of Greater Intellect	5
38	Alchemy	None		Elixir of Giants	5
38	Alchemy	Warrior, Rogue, Hunter		Elixir of Greater Agility	5
38	Alchemy	Warrior, Rogue, Paladin, Druid	Pro	Elixir of Giants	5
41	Alchemy	Warlock, Mage, Priest, Druid, Paladin		Superior Mana Potion	10
42	Alchemy	All		Frost Oil	1
42	Alchemy	All		Lesser Invisibility Potion	1
42	Alchemy	All		Healing Potion	1
45	Alchemy	None		Major Healing Potion	5
45	Alchemy	All	Pro	Major Healing Potion	5
46	Alchemy	Warrior, Rogue, Hunter		Elixir of the Mongoose	5
49	Alchemy	None		Major Mana Potion	5
49	Alchemy	Warlock, Mage, Priest, Druid, Paladin	Pro	Major Mana Potion	5
52	Alchemy	None	Pro	Flask of Petrification	1
60	Alchemy	None		Flask of Petrification	1
1	Blacksmithing	Rogue, Warrior, Paladin		Rough Sharpening Stone	20
1	Blacksmithing	Warrior, Paladin, Druid		Rough Weightstone	20
2	Blacksmithing	Warrior, Paladin		Copper Bracers	1
2	Blacksmithing	Warrior, Paladin		Rough Copper Vest	1
4	Blacksmithing	None		Copper Chain Boots	1
4	Blacksmithing	None		Copper Chain Pants	1
